사건번호,용도,시도,시군구,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일,분기
광주 12계 2024-72217,아파트,광주,광산구,광주 광산구 쌍암동 661-8 첨단에이엠씨티3차 3층 312호,"101,000,000","28,959,000",예상,0,0%,2026-04-17,2026_2Q
광주 12계 2024-72897,근린상가,광주,광산구,광주 광산구 송정동 842-16,"1,664,158,000","931,929,000",예상,0,0%,2026-04-17,2026_2Q
광주 12계 2024-73081(1),아파트,광주,광산구,광주 광산구 월계동 884-2 첨단에이엠시티 9층 909호,"49,000,000","34,300,000",낙찰,"40,775,000",83.2%,2026-01-23,2026_1Q
광주 12계 2024-73081(2),아파트,광주,광산구,광주 광산구 월계동 884-2 첨단에이엠시티 4층 401호,"48,000,000","33,600,000",낙찰,"40,255,000",83.9%,2026-01-23,2026_1Q
광주 12계 2024-73081(3),오피스텔(주거),광주,광산구,광주 광산구 월계동 893-1 무들에코클래스 4층 427호,"106,000,000","74,200,000",낙찰,"84,500,000",79.7%,2026-01-23,2026_1Q
광주 12계 2024-73081(4),오피스텔,광주,광산구,광주 광산구 월계동 893-1 무들에코클래스 3층 336호,"112,000,000","78,400,000",낙찰,"88,500,000",79.0%,2026-01-23,2026_1Q
광주 12계 2024-73081(5),아파트,광주,광산구,광주 광산구 월계동 893-1 무들에코클래스 8층 824호,"53,000,000","37,100,000",낙찰,"40,101,000",75.7%,2026-01-23,2026_1Q
광주 12계 2024-73081(6),아파트,광주,광산구,광주 광산구 쌍암동 682-1 에이엠시티5차 5층 503호,"83,000,000","58,100,000",낙찰,"59,500,000",71.7%,2026-01-23,2026_1Q
광주 12계 2024-73081(7),아파트,광주,광산구,광주 광산구 쌍암동 682-1 에이엠시티5차 7층 703호,"85,000,000","59,500,000",낙찰,"66,255,500",77.9%,2026-01-23,2026_1Q
광주 12계 2024-73081(8),아파트,광주,광산구,광주 광산구 쌍암동 682-1 에이엠시티5차 7층 701호,"85,000,000","59,500,000",낙찰,"65,457,000",77.0%,2026-01-23,2026_1Q
광주 12계 2024-73081(9),아파트,광주,서구,광주 서구 치평동 1258-5 상무리채Ⅲ 7층 709호,"75,000,000","42,000,000",낙찰,"51,499,000",68.7%,2026-03-06,2026_1Q
광주 12계 2024-73111(1),주상복합(상가),광주,광산구,광주 광산구 우산동 1609-16 우산동한국아델리움더스위트 2층 201호,"442,000,000","126,730,000",예상,0,0%,2026-04-17,2026_2Q
광주 12계 2024-73111(2),주상복합(상가),광주,광산구,광주 광산구 우산동 1609-16 우산동한국아델리움더스위트 3층 301호,"381,000,000","109,241,000",예상,0,0%,2026-04-17,2026_2Q
광주 12계 2024-73111(3),주상복합(상가),광주,광산구,광주 광산구 우산동 1609-16 우산동한국아델리움더스위트 3층 302호,"370,000,000","106,086,000",예상,0,0%,2026-04-17,2026_2Q
광주 12계 2024-73111(4),주상복합(상가),광주,광산구,광주 광산구 우산동 1609-16 우산동한국아델리움더스위트 3층 303호,"211,000,000","60,498,000",예상,0,0%,2026-04-17,2026_2Q
광주 11계 2024-73241,점포,광주,서구,광주 서구 광천동 673-7 1호,"274,038,500","274,038,500",변경,0,0%,2026-03-03,2026_1Q
광주 11계 2024-73319,단독주택,광주,동구,광주 동구 동명동 183-15,"487,063,600","476,605,600",변경,0,0%,2026-01-20,2026_1Q
광주 11계 2024-73425,근린상가,광주,동구,광주 동구 월남동 345,"5,587,671,500","3,911,371,000",유찰,0,0%,2026-01-20,2026_1Q
광주 12계 2024-73630,아파트,광주,광산구,광주 광산구 장덕동 1306 진흥수완더루벤스 103동 22층 2202호,"386,000,000","270,200,000",예상,0,0%,2026-04-17,2026_2Q
광주 1계 2024-74008,아파트,광주,남구,광주 남구 주월동 543-9 주월동마이다스빌 101동 14층 1406호,"114,000,000","10,710,573",낙찰,"12,100,000",10.6%,2026-02-11,2026_1Q
광주 11계 2024-74077,대지,광주,광산구,광주 광산구 삼거동 851,"267,178,000","119,696,000",낙찰,"128,920,000",48.3%,2026-03-03,2026_1Q
광주 2계 2024-74114,오피스텔(주거),광주,남구,광주 남구 주월동 1333 봉선주월대라수어썸브릿지 102동 11층 1101호,"328,000,000","229,600,000",낙찰,"232,327,139",70.8%,2026-02-19,2026_1Q
광주 8계 2024-74404,점포,광주,북구,광주 북구 청풍동 499,"1,036,969,920","371,650,000",진행,0,0%,2026-03-12,2026_1Q
광주 9계 2024-75001(1),근린상가,광주,서구,광주 서구 치평동 1233-2 2층 201호,"1,738,000,000","778,624,000",예정,0,0%,2026-04-08,2026_2Q
광주 9계 2024-75001(2),근린상가,광주,서구,광주 서구 치평동 1233-2 1층 101호,"1,566,000,000","701,568,000",예정,0,0%,2026-04-08,2026_2Q
광주 11계 2024-75032,아파트,광주,동구,광주 동구 지산동 315-1 삼성 4동 15층 1501호,"320,000,000","320,000,000",정지,0,0%,2026-01-20,2026_1Q
광주 12계 2024-75223,아파트,광주,남구,광주 남구 송하동 126-2 송하동진아리채2단지 505동 3층 301호,"261,000,000","261,000,000",예정,0,0%,2026-04-17,2026_2Q
광주 12계 2024-75568,근린상가,광주,서구,광주 서구 유촌동 393 주건축물 1동,"5,405,281,900","3,783,698,000",유찰,0,0%,2026-01-23,2026_1Q
광주 10계 2024-75674(1),전,광주,동구,광주 동구 소태동 463-3,"82,123,000","45,990,000",예정,0,0%,2026-03-27,2026_1Q
광주 11계 2024-76158,아파트,광주,광산구,광주 광산구 우산동 1601-5 우산동청암더스위트2차 12층 1202호,"397,000,000","222,320,000",낙찰,"242,175,000",61.0%,2026-03-03,2026_1Q
광주 10계 2024-76929,단독주택,광주,서구,광주 서구 쌍촌동 432-20,"279,001,800","195,302,000",예정,0,0%,2026-03-27,2026_1Q
광주 12계 2024-77397,임야,광주,광산구,광주 광산구 지평동 483-5,"56,974,000","25,525,000",낙찰,"28,000,000",49.1%,2026-03-06,2026_1Q
광주 10계 2024-77427,단독주택,광주,북구,광주 북구 신안동 233-43,"303,608,400","170,021,000",예정,0,0%,2026-03-27,2026_1Q
광주 12계 2024-77441,대지,광주,북구,광주 북구 유동 7-26,"75,640,000","33,888,000",낙찰,"33,891,000",44.8%,2026-01-23,2026_1Q
광주 11계 2024-77656,아파트,광주,남구,광주 남구 봉선동 1076 포스코더샵 108동 1층 104호,"933,000,000","653,100,000",낙찰,"826,880,000",88.6%,2026-01-20,2026_1Q
광주 2계 2024-77663,아파트,광주,서구,"광주 서구 금호동 240-2 ,240-12,240,242-1,240-13,240-22,240-24 종원팰리스빌 106동 1층 106호","284,000,000","198,800,000",예정,0,0%,2026-04-02,2026_2Q
광주 11계 2024-77717,근린상가,광주,서구,광주 서구 쌍촌동 1334-1,"2,189,118,720","1,532,384,000",취하,0,0%,2026-02-25,2026_1Q
광주 5계 2024-77861,아파트,광주,북구,광주 북구 문흥동 919 대주맨션 101동 1층 111호,"95,000,000","95,000,000",정지,0,0%,2026-01-21,2026_1Q
광주 10계 2024-78055(1),아파트상가,광주,남구,광주 남구 월산동 1065 반도유보라더퍼스트 상가A동 지하1층 3호,"427,000,000","153,037,000",예정,0,0%,2026-03-27,2026_1Q
광주 10계 2024-78055(2),아파트상가,광주,남구,광주 남구 월산동 1065 반도유보라더퍼스트 상가A동 지하1층 5호,"922,000,000","330,445,000",예정,0,0%,2026-03-27,2026_1Q
광주 10계 2024-78055(3),아파트상가,광주,남구,광주 남구 월산동 1065 반도유보라더퍼스트 상가A동 지하1층 15호,"461,000,000","165,223,000",예정,0,0%,2026-03-27,2026_1Q
광주 10계 2024-78055(4),아파트상가,광주,남구,광주 남구 월산동 1065 반도유보라더퍼스트 상가A동 지하1층 16호,"461,000,000","165,223,000",예정,0,0%,2026-03-27,2026_1Q
광주 10계 2024-78055(5),아파트상가,광주,남구,광주 남구 월산동 1065 반도유보라더퍼스트 상가A동 지하1층 19호,"461,000,000","206,528,000",예정,0,0%,2026-03-27,2026_1Q
광주 10계 2024-78055(6),아파트상가,광주,남구,광주 남구 월산동 1065 반도유보라더퍼스트 상가A동 지하1층 20호,"461,000,000","165,223,000",예정,0,0%,2026-03-27,2026_1Q
광주 10계 2024-78055(7),아파트상가,광주,남구,광주 남구 월산동 1065 반도유보라더퍼스트 상가A동 지하1층 21호,"461,000,000","165,223,000",예정,0,0%,2026-03-27,2026_1Q
광주 10계 2024-78055(8),아파트상가,광주,남구,광주 남구 월산동 1065 반도유보라더퍼스트 상가A동 지하1층 22호,"461,000,000","165,223,000",예정,0,0%,2026-03-27,2026_1Q
광주 10계 2024-78055(9),아파트상가,광주,남구,광주 남구 월산동 1065 반도유보라더퍼스트 상가C동 지하1층 9호,"316,000,000","113,255,000",예정,0,0%,2026-03-27,2026_1Q
광주 10계 2024-78055(10),아파트상가,광주,남구,광주 남구 월산동 1065 반도유보라더퍼스트 상가C동 지하1층 10호,"338,000,000","121,140,000",예정,0,0%,2026-03-27,2026_1Q
광주 10계 2024-78055(11),아파트상가,광주,남구,광주 남구 월산동 1065 반도유보라더퍼스트 상가C동 지하1층 11호,"274,000,000","98,202,000",예정,0,0%,2026-03-27,2026_1Q
광주 10계 2024-78055(12),아파트상가,광주,남구,광주 남구 월산동 1065 반도유보라더퍼스트 상가C동 지하1층 12호,"274,000,000","98,202,000",예정,0,0%,2026-03-27,2026_1Q
광주 5계 2024-78758,오피스텔(주거),광주,동구,"광주 동구 수기동 89 ,90-1 충장홀리어스 1동 7층 702호","142,000,000","16,677,000",낙찰,"16,687,000",11.8%,2026-03-04,2026_1Q
광주 11계 2024-78765,오피스텔(주거),광주,광산구,광주 광산구 쌍암동 676-2 에이엠시티센트럴파크 14층 1401호,"139,000,000","97,300,000",낙찰,"120,770,000",86.9%,2026-01-20,2026_1Q
광주 11계 2024-78925,단독주택,광주,동구,광주 동구 산수동 127-9,"182,967,020","182,967,020",정지,0,0%,2026-01-20,2026_1Q
광주 8계 2024-78994,단독주택,광주,남구,광주 남구 임암동 197,"24,984,100","11,193,000",진행,0,0%,2026-03-12,2026_1Q
광주 8계 2024-79140,아파트,광주,북구,광주 북구 문흥동 1010-2 일신 104동 11층 1101호,"131,000,000","37,560,000",진행,0,0%,2026-03-12,2026_1Q
광주 11계 2024-79386,아파트,광주,서구,"광주 서구 풍암동 1048 풍암지구호반,중흥 203동 16층 1601호","187,000,000","130,900,000",낙찰,"161,888,810",86.6%,2026-01-20,2026_1Q
광주 2계 2024-79447,아파트,광주,서구,광주 서구 금호동 613-6 진흥더블파크 102동 5층 501호,"583,000,000","326,480,000",낙찰,"430,850,999",73.9%,2026-02-19,2026_1Q
광주 11계 2024-79683,숙박시설,광주,광산구,광주 광산구 우산동 1606-2,"4,349,269,080","2,783,533,000",예정,0,0%,2026-04-14,2026_2Q
광주 11계 2024-79775,아파트,광주,서구,광주 서구 화정동 858-4 우성 2동 3층 301호,"174,000,000","77,952,000",예정,0,0%,2026-04-14,2026_2Q
광주 11계 2024-79935,아파트,광주,북구,광주 북구 신용동 684 광주첨단2지구호반베르디움2단지 202동 18층 1801호,"680,000,000","680,000,000",취하,0,0%,2026-03-03,2026_1Q
광주 11계 2024-80096,아파트,광주,광산구,광주 광산구 월계동 884-2 첨단에이엠시티 3층 301호,"63,000,000","44,100,000",낙찰,"62,845,000",99.8%,2026-01-20,2026_1Q
광주 8계 2024-80218,답,광주,북구,광주 북구 용두동 1008-15,"357,000,000","159,936,000",진행,0,0%,2026-03-12,2026_1Q
광주 3계 2024-80515,아파트,광주,광산구,광주 광산구 산월동 883-2 부영 305동 6층 606호,"266,000,000","186,200,000",낙찰,"237,730,000",89.4%,2026-03-05,2026_1Q
광주 7계 2024-80867,아파트,광주,광산구,광주 광산구 송정동 763-12 펠릭스골드주상복합 13층 1302호,"164,000,000","19,261,000",예정,0,0%,2026-03-24,2026_1Q
광주 3계 2024-80942,오피스텔(상가),광주,서구,광주 서구 치평동 1208 골든빌오피스텔 지하층 비106호,"202,000,000","29,655,000",예정,0,0%,2026-04-16,2026_2Q
광주 11계 2024-80997,아파트,광주,남구,광주 남구 진월동 294-18 호반리젠시빌스위트 101동 8층 806호,"359,000,000","359,000,000",변경,0,0%,2026-01-20,2026_1Q
광주 11계 2024-81044,아파트,광주,광산구,광주 광산구 쌍암동 676-3 첨단센트럴파크2차 201동 6층 605호,"168,000,000","117,600,000",낙찰,"148,210,000",88.2%,2026-03-03,2026_1Q
광주 2계 2024-81082(1),근린상가,광주,남구,광주 남구 행암동 572 1동 1층 101호,"511,000,000","146,514,000",예정,0,0%,2026-04-02,2026_2Q
광주 2계 2024-81082(2),근린상가,광주,남구,광주 남구 행암동 572 1동 1층 102호,"533,000,000","152,822,000",예정,0,0%,2026-04-02,2026_2Q
광주 2계 2024-81082(3),근린상가,광주,남구,광주 남구 행암동 572 1동 1층 103호,"438,000,000","125,583,000",예정,0,0%,2026-04-02,2026_2Q
광주 2계 2024-81082(4),근린상가,광주,남구,광주 남구 행암동 572 1동 1층 104호,"418,000,000","119,849,000",예정,0,0%,2026-04-02,2026_2Q
광주 2계 2024-81082(5),근린상가,광주,남구,광주 남구 행암동 572 1동 1층 108호,"471,000,000","135,045,000",예정,0,0%,2026-04-02,2026_2Q
광주 2계 2024-81082(6),근린상가,광주,남구,광주 남구 행암동 572 1동 1층 109호,"471,000,000","135,045,000",예정,0,0%,2026-04-02,2026_2Q
광주 2계 2024-81082(7),근린상가,광주,남구,광주 남구 행암동 572 1동 3층 303호,"297,000,000","85,156,000",예정,0,0%,2026-04-02,2026_2Q
광주 2계 2024-81082(8),근린상가,광주,남구,광주 남구 행암동 572 1동 3층 304호,"332,000,000","95,191,000",예정,0,0%,2026-04-02,2026_2Q
광주 2계 2024-81082(9),근린상가,광주,남구,광주 남구 행암동 572 1동 4층 401호,"332,000,000","95,191,000",예정,0,0%,2026-04-02,2026_2Q
광주 2계 2024-81082(10),근린상가,광주,남구,광주 남구 행암동 572 1동 4층 402호,"291,000,000","83,435,000",예정,0,0%,2026-04-02,2026_2Q
광주 2계 2024-81082(11),근린상가,광주,남구,광주 남구 행암동 572 1동 4층 403호,"297,000,000","85,156,000",예정,0,0%,2026-04-02,2026_2Q
광주 2계 2024-81082(12),근린상가,광주,남구,광주 남구 행암동 572 1동 4층 404호,"332,000,000","95,191,000",예정,0,0%,2026-04-02,2026_2Q
광주 3계 2024-81204(3),아파트,광주,북구,광주 북구 매곡동 31-1 Am-City 5층 502호,"73,000,000","13,397,000",예정,0,0%,2026-04-16,2026_2Q
광주 3계 2024-81204(7),아파트,광주,북구,광주 북구 매곡동 31-1 Am-City 7층 709호,"73,000,000","20,932,000",낙찰,"21,000,000",28.8%,2026-01-22,2026_1Q
광주 11계 2024-81211,점포,광주,북구,광주 북구 동림동 150-1 1동,"2,141,970,000","1,199,504,000",예정,0,0%,2026-04-14,2026_2Q
광주 12계 2024-81341,아파트,광주,광산구,광주 광산구 우산동 1625 쌍용더플래티넘광산 108동 16층 1601호,"550,000,000","385,000,000",낙찰,"441,004,470",80.2%,2026-01-23,2026_1Q
광주 1계 2024-81358(1),근린상가,광주,광산구,광주 광산구 도산동 773-4 1층 103호,"592,000,000","265,216,000",낙찰,"288,694,400",48.8%,2026-02-11,2026_1Q
광주 11계 2024-81471,전,광주,북구,광주 북구 충효동 777,"42,705,000","29,894,000",예정,0,0%,2026-04-14,2026_2Q
광주 8계 2024-81563(2),근린상가,광주,남구,광주 남구 행암동 590 제이엔비타워 4층 402호,"193,000,000","86,464,000",낙찰,"87,555,000",45.4%,2026-01-29,2026_1Q
광주 8계 2024-81563(3),근린상가,광주,남구,광주 남구 행암동 590 제이엔비타워 4층 403호,"275,000,000","98,560,000",진행,0,0%,2026-03-12,2026_1Q
광주 8계 2024-81686,연립,광주,광산구,광주 광산구 수완동 158-1 1동 3층 301호,"338,000,000","121,139,000",진행,0,0%,2026-03-12,2026_1Q
광주 11계 2024-81716,아파트,광주,광산구,"광주 광산구 신가동 302-39 ,신창동 850-5 중흥 204동 7층 706호","139,000,000","97,300,000",낙찰,"115,530,000",83.1%,2026-03-03,2026_1Q
광주 6계 2024-81815(1),도로,광주,북구,광주 북구 양산동 93-5,"4,550,000","3,185,000",진행,0,0%,2026-03-11,2026_1Q
광주 6계 2024-81815(2),도로,광주,북구,광주 북구 양산동 93-6,"135,590,000","94,913,000",진행,0,0%,2026-03-11,2026_1Q
광주 6계 2024-81815(7),대지,광주,북구,광주 북구 양산동 1061,"1,271,970,000","455,874,000",낙찰,"569,811,000",44.8%,2026-01-28,2026_1Q
광주 11계 2024-82030,아파트,광주,광산구,"광주 광산구 수완동 908 ,909,911 수완2차우미린 202동 5층 501호","243,000,000","243,000,000",낙찰,"243,000,000",100.0%,2026-01-20,2026_1Q
광주 5계 2024-82115(1),전,광주,북구,광주 북구 화암동 260,"84,564,000","59,195,000",예정,0,0%,2026-04-15,2026_2Q
광주 5계 2024-82115(2),임야,광주,북구,광주 북구 화암동 산194,"84,436,000","59,106,000",예정,0,0%,2026-04-15,2026_2Q
광주 11계 2024-82177,답,광주,북구,광주 북구 지야동 804-10,"2,368,578,000","1,326,404,000",예정,0,0%,2026-04-14,2026_2Q
광주 12계 2024-82184,아파트,광주,서구,광주 서구 치평동 1159 상무1차우미 103동 14층 1410호,"187,000,000","130,900,000",낙찰,"155,220,000",83.0%,2026-03-06,2026_1Q
광주 5계 2024-82276,연립,광주,남구,광주 남구 주월동 497 에이엠시티101 2층 208호,"44,000,000","24,640,000",취하,0,0%,2026-02-10,2026_1Q
광주 10계 2024-82306,임야,광주,북구,광주 북구 월출동 산68-3,"157,344,000","56,392,000",낙찰,"58,510,000",37.2%,2026-02-20,2026_1Q
광주 10계 2024-82481,아파트,광주,남구,"광주 남구 월산동 337-97 ,323-45,323-66,337-29 우영 1동 9층 903호","147,000,000","82,320,000",낙찰,"126,400,000",86.0%,2026-02-20,2026_1Q
광주 1계 2024-82535,단독주택,광주,서구,광주 서구 농성동 444-11,"287,056,340","128,601,240",낙찰,"141,000,000",49.1%,2026-01-07,2026_1Q
광주 8계 2024-82634,연립,광주,서구,광주 서구 양동 321-49 제이에스파크빌 101동 4층 405호,"177,000,000","99,120,000",진행,0,0%,2026-03-12,2026_1Q
광주 12계 2024-82665,아파트,광주,광산구,광주 광산구 월계동 755-4 성원 101동 2층 203호,"348,000,000","243,600,000",낙찰,"255,780,000",73.5%,2026-01-23,2026_1Q
광주 2계 2024-82672,아파트,광주,동구,광주 동구 학동 1022 무등산아이파크 105동 32층 3205호,"323,000,000","115,763,000",낙찰,"116,829,000",36.2%,2026-02-19,2026_1Q
광주 10계 2024-82801,전,광주,광산구,광주 광산구 지죽동 637-5,"34,673,650","15,534,000",유찰,0,0%,2026-02-20,2026_1Q
광주 11계 2024-82818,대지,광주,동구,광주 동구 학동 593-2,"8,030,100","4,498,000",예정,0,0%,2026-04-14,2026_2Q
광주 4계 2024-82948,아파트,광주,북구,광주 북구 두암동 329 반석힐라 101동 7층 703호,"47,000,000","2,959,000",예정,0,0%,2026-04-07,2026_2Q
광주 6계 2024-82979,아파트,광주,북구,광주 북구 삼각동 754-2 드림네스트삼각1차 2층 204호,"229,000,000","42,023,000",진행,0,0%,2026-03-11,2026_1Q
광주 7계 2024-83248,아파트상가,광주,남구,광주 남구 주월동 1320 양우내안애프레스티지 110동 2층 202호,"1,803,000,000","807,744,000",예정,0,0%,2026-03-24,2026_1Q
광주 6계 2024-83330(1),주상복합(상가),광주,북구,광주 북구 운암동 1782 센텀플로라에듀 1층 104호,"202,000,000","90,496,000",진행,0,0%,2026-03-11,2026_1Q
광주 10계 2024-83361,근린상가,광주,광산구,광주 광산구 우산동 1606-8 4층 401호,"4,842,000,000","3,389,400,000",예정,0,0%,2026-03-27,2026_1Q
광주 11계 2024-83385,아파트,광주,남구,광주 남구 행암동 546 브라운스톤효천 106동 2층 203호,"318,000,000","318,000,000",변경,0,0%,2026-01-20,2026_1Q
광주 12계 2024-83613,아파트,광주,서구,광주 서구 금호동 787 중흥 101동 15층 1510호,"212,000,000","148,400,000",낙찰,"190,200,000",89.7%,2026-03-06,2026_1Q
광주 7계 2024-83675,아파트,광주,광산구,광주 광산구 월계동 755-5 건영 103동 11층 1103호,"249,000,000","29,244,000",예정,0,0%,2026-03-24,2026_1Q
광주 11계 2024-83705,아파트,광주,광산구,광주 광산구 월계동 756-6 첨단5차라인 503동 8층 806호,"269,000,000","188,300,000",낙찰,"209,820,000",78.0%,2026-03-03,2026_1Q
광주 12계 2024-83712,아파트,광주,광산구,광주 광산구 장덕동 1111 광주수완세영리첼 104동 1층 101호,"464,000,000","324,800,000",취하,0,0%,2026-03-06,2026_1Q
광주 11계 2024-84029,아파트,광주,북구,광주 북구 일곡동 816-4 삼호 102동 9층 901호,"400,000,000","280,000,000",예정,0,0%,2026-04-14,2026_2Q
광주 12계 2024-84036,아파트,광주,광산구,광주 광산구 수완동 970 해솔마을 대방노블랜드2차 201동 10층 1003호,"806,000,000","806,000,000",정지,0,0%,2026-01-23,2026_1Q
광주 8계 2024-84128,주상복합(주거),광주,동구,"광주 동구 소태동 690 ,850-12 엔케이아이리스1차 2층 205호","126,000,000","88,200,000",취하,0,0%,2026-02-04,2026_1Q
광주 12계 2024-84180(1),도로,광주,북구,광주 북구 중흥동 361-35,"7,744,660","7,744,660",낙찰,"7,888,000",101.9%,2026-01-23,2026_1Q
광주 12계 2024-84180(2),도로,광주,북구,광주 북구 중흥동 361-38,"7,744,660","7,744,660",낙찰,"7,888,000",101.9%,2026-01-23,2026_1Q
광주 10계 2024-84302(2),아파트,광주,광산구,"광주 광산구 송정동 754-2 ,754-9,754-14 송정뜰안애 4층 401호","52,000,000","29,120,000",낙찰,"29,899,900",57.5%,2026-01-09,2026_1Q
광주 12계 2024-84340,단독주택,광주,동구,광주 동구 동명동 174-5,"206,473,750","115,626,000",예상,0,0%,2026-04-17,2026_2Q
광주 12계 2024-84562,아파트,광주,서구,광주 서구 풍암동 1132 우미광장 107동 7층 705호,"87,000,000","60,900,000",낙찰,"70,366,160",80.9%,2026-03-06,2026_1Q
광주 5계 2024-84609,아파트,광주,광산구,광주 광산구 쌍암동 682-1 에이엠시티5차 3층 301호,"84,000,000","19,268,000",예정,0,0%,2026-04-15,2026_2Q
광주 8계 2024-84623,아파트,광주,광산구,"광주 광산구 쌍암동 694-70 ,694-71,694-72 첨단도휘에드가2차 6층 607호","59,000,000","26,432,000",진행,0,0%,2026-03-12,2026_1Q
광주 10계 2024-84807,창고,광주,북구,광주 북구 효령동 349-3,"1,226,763,300","686,988,000",예정,0,0%,2026-03-27,2026_1Q
광주 3계 2024-84838,주상복합(상가),광주,동구,광주 동구 대인동 153 루체클래식 1동 3층 301호,"564,000,000","202,138,000",유찰,0,0%,2026-01-22,2026_1Q
광주 12계 2024-85015,아파트,광주,남구,광주 남구 진월동 245 진월2차현대 201동 1층 101호,"142,000,000","99,400,000",낙찰,"122,180,000",86.0%,2026-03-06,2026_1Q
광주 6계 2024-85244,근린상가,광주,서구,광주 서구 치평동 1326 세정아울렛 1층 109호,"1,547,000,000","693,056,000",진행,0,0%,2026-03-11,2026_1Q
광주 8계 2024-85411,임야,광주,광산구,광주 광산구 동산동 산173,"39,537,000","22,141,000",낙찰,"25,100,000",63.5%,2026-01-29,2026_1Q
광주 10계 2024-85534,대지,광주,남구,광주 남구 서동 114-1,"385,050,000","172,502,000",낙찰,"211,700,000",55.0%,2026-02-20,2026_1Q
광주 11계 2024-85541(1),전,광주,남구,광주 남구 월산동 586,"685,580,000","383,925,000",예정,0,0%,2026-04-14,2026_2Q
광주 11계 2024-85541(2),대지,광주,남구,광주 남구 월산동 584-1,"942,048,000","527,548,000",예정,0,0%,2026-04-14,2026_2Q
광주 1계 2024-85565,답,광주,북구,광주 북구 신용동 477-10,"2,871,000,000","1,286,208,000",취하,0,0%,2026-02-11,2026_1Q
광주 2계 2024-85572,아파트,광주,북구,광주 북구 일곡동 849-9 대우 102동 12층 1201호,"137,000,000","31,425,000",예정,0,0%,2026-04-02,2026_2Q
광주 5계 2024-85619,근린주택,광주,서구,광주 서구 쌍촌동 1346-8,"842,376,000","539,121,000",예정,0,0%,2026-04-15,2026_2Q
광주 8계 2024-85671,답,광주,북구,광주 북구 금곡동 908-2,"12,930,500","12,930,500",낙찰,"12,950,000",100.2%,2026-01-29,2026_1Q
광주 11계 2024-85701,아파트,광주,북구,광주 북구 일곡동 848-2 대림1차 101동 14층 1407호,"140,000,000","98,000,000",예정,0,0%,2026-04-14,2026_2Q
광주 12계 2024-85718,근린상가,광주,동구,"광주 동구 동명동 143-54 ,143-75,143-37","1,012,806,560","567,172,000",예상,0,0%,2026-04-17,2026_2Q
광주 2계 2024-85725,다세대,광주,광산구,광주 광산구 월계동 883-1 베네시티주건축물 1동 3층 308호,"54,000,000","12,388,000",예정,0,0%,2026-04-02,2026_2Q
광주 12계 2024-85862,아파트,광주,북구,광주 북구 일곡동 849-1 한일 102동 20층 2006호,"160,000,000","112,000,000",낙찰,"141,289,900",88.3%,2026-01-23,2026_1Q
광주 5계 2024-85909,근린상가,광주,서구,광주 서구 쌍촌동 137-4 신천힐탑맨션 104동 2층 205호,"75,000,000","17,204,000",예정,0,0%,2026-04-15,2026_2Q
광주 7계 2024-85930,아파트,광주,광산구,광주 광산구 송정동 731-1 송정크레지움센트럴 2층 201호,"227,000,000","65,086,000",낙찰,"65,086,000",28.7%,2026-02-13,2026_1Q
광주 11계 2024-86438,전,광주,광산구,광주 광산구 송정동 941-2,"1,084,040,000","758,828,000",유찰,0,0%,2026-01-20,2026_1Q
광주 7계 2024-86605(1),오피스텔,광주,북구,광주 북구 각화동 594 힐스테이트각화 115동 지1층 101호,"986,000,000","353,383,000",예정,0,0%,2026-03-24,2026_1Q
광주 7계 2024-86605(2),오피스텔,광주,북구,광주 북구 각화동 594 힐스테이트각화 115동 2층 202호,"183,000,000","102,480,000",예정,0,0%,2026-03-24,2026_1Q
광주 7계 2024-86605(3),오피스텔,광주,북구,광주 북구 각화동 594 힐스테이트각화 115동 2층 201호,"195,000,000","87,360,000",낙찰,"91,500,000",46.9%,2026-02-13,2026_1Q
광주 7계 2024-86605(4),오피스텔,광주,북구,광주 북구 각화동 594 힐스테이트각화 115동 지1층 102호,"912,000,000","326,861,000",예정,0,0%,2026-03-24,2026_1Q
광주 10계 2024-86698,근린상가,광주,서구,광주 서구 치평동 1218-1 프리미엄아울렛 1층 11호,"528,000,000","236,544,000",낙찰,"258,500,000",49.0%,2026-02-20,2026_1Q
광주 11계 2024-86704,아파트,광주,동구,광주 동구 용산동 662 광주용산지구2블럭계룡리슈빌더포레스트 109동 19층 1904호,"631,000,000","441,700,000",예정,0,0%,2026-04-14,2026_2Q
광주 6계 2024-86803,단독주택,광주,남구,광주 남구 주월동 417-6,"231,551,580","42,491,000",진행,0,0%,2026-03-11,2026_1Q
광주 12계 2024-86919,오피스텔(주거),광주,북구,광주 북구 중흥동 348-1 5층 501호,"177,000,000","79,296,000",낙찰,"87,500,000",49.4%,2026-03-06,2026_1Q
광주 12계 2024-86926,아파트,광주,광산구,광주 광산구 월계동 757-5 모아 101동 10층 1007호,"479,000,000","335,300,000",낙찰,"340,200,000",71.0%,2026-03-06,2026_1Q
광주 2계 2024-87158,아파트,광주,서구,"광주 서구 치평동 1330 ,마륵동 802 갤러리303 103동 11층 1101호","774,000,000","541,800,000",낙찰,"612,900,000",79.2%,2026-02-19,2026_1Q
광주 11계 2024-87196,오피스텔(주거),광주,광산구,광주 광산구 지죽동 764 광산엘리체레이크시티 103동 24층 2402호,"270,000,000","189,000,000",예정,0,0%,2026-04-14,2026_2Q
광주 3계 2024-87226,아파트,광주,동구,광주 동구 산수동 568-1 두암타운 102동 11층 1104호,"279,000,000","279,000,000",변경,0,0%,2026-03-05,2026_1Q
